id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1849936,1607177,2026-09-24T06:21:01.865256Z,2026-09-24T06:21:01.865264Z,"<p>In base al sito di TIM, per accedere da Client devi usare una connessione TIM o aver associato l'indirizzo ad un numero fisso o mobile di TIM: <a href=""https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc"" rel=""nofollow"">https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc</a> </p><p>Leggi comunque anche quanto scritto qui (<strong>sembra ci sia un problema tecnico in corso</strong>): <a href=""https://support.mozilla.org/it/questions/1606677"" rel=""nofollow"">https://support.mozilla.org/it/questions/1606677</a> </p><p>e la discussione in corso qui: <a href=""https://forum.mozillaitalia.org/index.php?topic=80208.0"" rel=""nofollow"">https://forum.mozillaitalia.org/index.php?topic=80208.0</a> </p>",'@next,False,0,0
1849937,1607177,2026-09-24T06:21:08.752297Z,2026-09-24T06:21:08.752308Z,"<p>In base al sito di TIM, per accedere da Client devi usare una connessione TIM o aver associato l'indirizzo ad un numero fisso o mobile di TIM: <a href=""https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc"" rel=""nofollow"">https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc</a> </p><p>Leggi comunque anche quanto scritto qui (<strong>sembra ci sia un problema tecnico in corso</strong>): <a href=""https://support.mozilla.org/it/questions/1606677"" rel=""nofollow"">https://support.mozilla.org/it/questions/1606677</a> </p><p>e la discussione in corso qui: <a href=""https://forum.mozillaitalia.org/index.php?topic=80208.0"" rel=""nofollow"">https://forum.mozillaitalia.org/index.php?topic=80208.0</a> </p>",'@next,False,0,0
1849939,1607169,2026-09-24T06:22:24.929513Z,2026-09-24T06:22:24.929520Z,"<p>Per poter inquadrare il problema prova a fornire queste informazioni: </p> <ol><li> Versione di Thunderbird </li><li> Versione del sistema operativo </li><li> Provider delle caselle email (Gmail, Libero, Hotmail, etc.) </li><li> Tipologia di account (POP3, IMAP) </li><li> Estensioni installate </li><li> <strong>Messaggi di errore che vengono visualizzati durante l'utilizzo di Thunderbird</strong> </li><li> Software di sicurezza eventualmente presenti (Antivirus e simili) </li><li> Screenshot del problema </li></ol>",'@next,False,0,0
1849943,1607177,2026-09-24T06:28:19.644112Z,2026-09-24T06:28:19.644120Z,"<p>Da questa connessione, non TIM, uso il PC da 15 anni e non ho mai avuto problemi, tutto è iniziato solo ieri </p>",avanzino,False,0,0
1849948,1607192,2026-09-24T06:45:55.965638Z,2026-09-24T06:45:55.965649Z,"<p>In base al sito di TIM, per accedere da Client devi usare una connessione TIM o aver associato l'indirizzo ad un numero fisso o mobile di TIM: <a href=""https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc"" rel=""nofollow"">https://www.tim.it/assistenza/assistenza-tecnica/mail/configurazione/client-pc</a> </p><p>Leggi comunque anche quanto scritto qui (<strong>sembra ci sia un problema tecnico in corso</strong>): <a href=""https://support.mozilla.org/it/questions/1606677"" rel=""nofollow"">https://support.mozilla.org/it/questions/1606677</a> </p><p>e la discussione in corso qui: <a href=""https://forum.mozillaitalia.org/index.php?topic=80208.0"" rel=""nofollow"">https://forum.mozillaitalia.org/index.php?topic=80208.0</a> </p>",'@next,False,0,0
1849961,1607195,2026-09-24T07:22:57.781816Z,2026-09-24T07:22:57.781823Z,"<p>September 24, 2026 Hello. The problem I just wrote you about has changed a little.  Now on clicking the email button the words Yahoo Mail show with the 2 in parentheses just beside them.  Before it was the icon with a superscript.  Please check what is going on and where those 2 phantom emails are.  May you please? Thank you. Helen </p>",hledgur,False,0,0
1849984,1607212,2026-09-24T09:14:52.915737Z,2026-09-24T09:14:52.915744Z,"<p>V thunderbirdu stačilo v příchozí poště přidat kolonku ""od"".  V základě jsou tam jen ""korespondenti"" a problém je po 2 hodinách vyřešený. </p>",mar6x72gar,False,0,0
1849985,1607212,2026-09-24T09:15:06.110838Z,2026-09-24T09:15:06.110846Z,<p>Odosielaný email môže mať v hlavičke iba jedinú adresu a to tú z ktorej bol email odoslaný. Nie je možné aby tam bolo uvedených viac odosielacích adries. </p>,Ansamb,False,0,0
1849992,1607158,2026-09-24T10:06:02.124003Z,2026-09-24T10:06:02.124010Z,<p>That is a request for your Windows password. </p>,davidsk,False,0,0
1849993,1607155,2026-09-24T10:07:29.285475Z,2026-09-24T10:07:29.285482Z,<p>Being in your addressbook is not assurance from being marked as spam. I suggest creating filters for this. </p>,davidsk,False,0,0
1849994,1607223,2026-09-24T10:30:27.609261Z,2026-09-24T10:32:05.481769Z,"<p>Probably by error you closed the ""message pane"". Hit the F8 key to display the message pane, then a simple left-click on a message in the thread pane will open it in the message pane. </p>",Mapenzi,False,1,0
1849995,1607223,2026-09-24T10:34:59.873763Z,2026-09-24T10:34:59.873773Z,<p>Thanks! </p>,rogershuff,False,0,0
1849998,1607231,2026-09-24T10:56:26.337955Z,2026-09-24T10:56:26.337962Z,<p>The easy approach will be to copy the archive folders to Local Folders. That eliminates a requirement that they be affiliated with an email account. There are also free products and websites that let you read these message folders as the mbox format has common access. </p>,davidsk,False,0,0
