id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version,firefox_version
1598363,2026-08-15T00:44:15.552374Z,2026-08-15T00:44:15.552385Z,en-US,thunderbird,The last major update broke tags in my setup.,False,,,False,,,tags,thunderbird;windows-11;tags;thunderbird-1530;thunderbird-15303;,derherrmahr,"<p>I usually browse my emails using saved search folders. Messages in these search folders are losing their tags. I tag the messages, and when I browse them later, the tags are gone. The same happens in regular folders and subfolders. If I browse the regular folders and tag messages while visualizing these folders, the same happens again. Any guesses? </p>",derherrmahr;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0;tb_version:153.0.3 Meadow;os:Windows 11;sanitized_product_version:153.0.3",0,0,0,,,,Windows 11,153.0.3 Meadow,
1598366,2026-08-15T01:45:30.351197Z,2026-08-15T04:12:15.714216Z,en-US,thunderbird,my deleted email that I've read have suddenly stopped going into my Trash file. I want that restored,False,,,False,1839444,1839444;,email-and-messaging,thunderbird;windows-10;email-and-messaging;thunderbird-1500;,bobdi1,"<p>all of a sudden, my deleted emails are not going into my Trash file. They are not spam. They are just emails I've already read. </p><p>Again, all of a sudden I have a Spam folder which I do not need or want. I want my Trash folder back and I want to be able delete my emails into that folder. </p><p>Right now, and this is new, when I delete an email it completely disappears. </p>",bobdi1;rednoise;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36;tb_version:150. ob1;os:Windows 10;sanitized_product_version:150.0",1,0,0,,,,Windows 10,150. ob1,
1598376,2026-08-15T03:33:44.942347Z,2026-08-15T14:32:41.155829Z,en-US,thunderbird,"""Authentication failure"" with Gmail Oauth login (Linux/Nixos)",True,1839534,janedoe,False,1839534,1839445;1839534;,passwords-and-sign-in,thunderbird;passwords-and-sign-in;thunderbird-1530;,janedoe,"<p>Thunderbird for NixOS nixos - 1.0 </p><p>I could not figure out how to provide a log at all. If there is a way, please let me know and I will provide one. </p><p>Whenever I try to log in with gmail, I get stuck on this dead end: </p> <ol><li> Set up gmail server config (because my email ends in @vcu.edu, however I have tested this with a proper @gmail.com email and observed the exact same behavior) </li><li> Get propted to login with google, which works </li><li> Get to the ""Mozilla Thunderbird Email wants access to your Google Account"" page, select all and hit continue </li><li> get redirected to `<a href=""http://localhost:35141/?state="" rel=""nofollow"">http://localhost:35141/?state=</a>&lt;string of chars&gt;&amp;iss=<a href=""https://accounts.google.com&amp;code="" rel=""nofollow"">https://accounts.google.com&amp;code=</a>&lt;another string of chars&gt;&amp;scope=<a href=""https://mail.google.com/%20https://www.googleapis.com/auth/carddav%20https://www.googleapis.com/auth/calendar`"" rel=""nofollow"">https://mail.google.com/%20https://www.googleapis.com/auth/carddav%20https://www.googleapis.com/auth/calendar`</a>     This page does not load, I just get a ""unable to connect"" error </li><li> get a notification stating ""Authentication failure while connecting to server `<a href=""http://imap.gmail.com"" rel=""nofollow"">imap.gmail.com</a>` </li><li> get ANOTHER prompt to log in with google, exact same thing happens </li></ol> <p>please note that the port is random and is different every single time. also, google does not register that I have allowed Thunderbird access to my account, and it prompts me again every single time. Open ports: ``` sudo ss -lntup [sudo] password for jane: Netid    State     Recv-Q    Send-Q         Local Address:Port          Peer Address:Port    Process udp      UNCONN    0         0              192.168.122.1:53                 0.0.0.0:*        users:((""dnsmasq"",pid=2224,fd=5)) udp      UNCONN    0         0             0.0.0.0%virbr0:67                 0.0.0.0:*        users:((""dnsmasq"",pid=2224,fd=3)) udp      UNCONN    0         0                    0.0.0.0:33289              0.0.0.0:*        users:((""librewolf"",pid=185950,fd=164)) udp      UNCONN    0         0                    0.0.0.0:35410              0.0.0.0:*        users:((""librewolf"",pid=185950,fd=161)) udp      UNCONN    0         0                    0.0.0.0:52393              0.0.0.0:*        users:((""librewolf"",pid=185950,fd=218)) udp      UNCONN    0         0                    0.0.0.0:21027              0.0.0.0:*        users:((""syncthing"",pid=1850,fd=19)) udp      UNCONN    0         0                    0.0.0.0:54112              0.0.0.0:*        users:((""syncthing"",pid=1850,fd=33)) udp      UNCONN    0         0                    0.0.0.0:5353               0.0.0.0:*        users:((""avahi-daemon"",pid=1148,fd=11)) udp      UNCONN    0         0                    0.0.0.0:41088              0.0.0.0:*        users:((""librewolf"",pid=185950,fd=169)) udp      UNCONN    0         0                    0.0.0.0:59247              0.0.0.0:*        users:((""librewolf"",pid=185950,fd=132)) udp      UNCONN    0         0                       [::]:44815                 [::]:*        users:((""syncthing"",pid=1850,fd=29)) udp      UNCONN    0         0                          *:1716                     *:*        users:(("".kdeconnectd-wr"",pid=185637,fd=15)) udp      UNCONN    0         0                       [::]:21027                 [::]:*        users:((""syncthing"",pid=1850,fd=34)) udp      UNCONN    0         0                       [::]:5353                  [::]:*        users:((""avahi-daemon"",pid=1148,fd=12)) udp      UNCONN    0         0                          *:22000                    *:*        users:((""syncthing"",pid=1850,fd=15)) tcp      LISTEN    0         4096               127.0.0.1:8384               0.0.0.0:*        users:((""syncthing"",pid=1850,fd=17)) tcp      LISTEN    0         32             192.168.122.1:53                 0.0.0.0:*        users:((""dnsmasq"",pid=2224,fd=6)) tcp      LISTEN    0         4096               127.0.0.1:8080               0.0.0.0:*        users:((""systemd"",pid=1,fd=847)) tcp      LISTEN    0         4096               127.0.0.1:631                0.0.0.0:*        users:((""cupsd"",pid=1814,fd=4),(""systemd"",pid=1,fd=997)) tcp      LISTEN    0         50                         *:1716                     *:*        users:(("".kdeconnectd-wr"",pid=185637,fd=16)) tcp      LISTEN    0         4096                   [::1]:631                   [::]:*        users:((""cupsd"",pid=1814,fd=8)) tcp      LISTEN    0         4096                       *:22000                    *:*        users:((""syncthing"",pid=1850,fd=21)) ``` </p><p>I believe this is all the information i can provide. Firewall was disabled for testing. I cannot log into either my school or personal gmail accounts. </p>",janedoe;rednoise;,False,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:153.0) Gecko/20100101 Firefox/153.0;tb_version:153.0;os:Linux (Nixos 26.05);sanitized_product_version:153.0;solver_id:7858753,2,0,0,,,,Linux (Nixos 26.05),153.0,
1598388,2026-08-15T06:33:33.524808Z,2026-08-15T12:28:35.012661Z,en-US,thunderbird,Not receiving emails in v140,False,,,False,,,send-and-receive-email,thunderbird;windows-11;send-and-receive-email;thunderbird-140130;thunderbird-14013;,info14456,<p>One of the email accounts connected to the main one is not receiving emails. CPanel doesn't show any irregularities that I can see. How can I solve the issue? </p>,info14456;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36;tb_version:140.13.0esr;os:Windows 11;sanitized_product_version:140.13.0",0,0,0,,,wsmwk,Windows 11,140.13.0esr,
1598394,2026-08-15T08:29:48.567394Z,2026-08-15T14:46:45.849577Z,en-US,thunderbird,sent email does not appear in sent email list,True,1839545,wsmwk,False,1839545,1839545;,send-and-receive-email,thunderbird;windows-11;send-and-receive-email;thunderbird-1530;thunderbird-15303;,clarke6,"<p>Bug report		15 Aug. 2026 </p><p>The disappearing emails. </p><p>It took me a while to find out what was going on. My friend said some of his Sent mail was nowhere to be found. After searching for it in a 'wrong' place it does not exist. Sending to the same recipient and again it just disappears. Simplifying the mail down to just address and the word ""test"", it still disappears. No combination of a Thunderbird search nor an Everything search finds anything. No return error message from this provider nor the recipients. </p><p>This address is for the local electricity board, other mails to other departments </p><pre>go through correctly and are found in the Sent email directory. </pre> <p>A careful inspection of the contact information shows this is the only department </p><pre>without a ""Shown Name"" it only has an email address filled in. </pre> <p>Entering a Name for this contact solves the problem, it now shows up in the Sent </p><pre>folder and is easily searchable.  </pre> <p>I hope this explanation helps some one else with a 'Houdini' email. </p>",clarke6;wsmwk;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:153.0.3 (64-bit);os:Windows 11;sanitized_product_version:153.0.3;solver_id:181052",1,0,0,,,,Windows 11,153.0.3 (64-bit),
1598399,2026-08-15T09:31:10.011836Z,2026-08-15T09:31:10.011843Z,nl,thunderbird,na sluiten emailbericht blijft thunderbird openstaan,False,,,False,,,customization,thunderbird;customization;windows-11;thunderbird-1520;thunderbird-15201;,famgiesbert,"<p>Ik heb emails opgeslagen op mijn pc bij Thunderbird. Als ik een email lees gaat eerstThunderbird open, daarna het bericht en nasluiting bericht blijft Thunderbird open staan. Hoe wijzig ik deze instelling? </p>",famgiesbert;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0;tb_version:152.0.1;os:windows 11;kb_visits_prior:[""/nl/kb/sneltoetsen-thunderbird""];sanitized_product_version:152.0.1",0,0,0,,,,windows 11,152.0.1,
1598400,2026-08-15T09:32:05.215170Z,2026-08-15T16:58:29.104785Z,en-US,thunderbird,"I can not access my e-mail. Can't go to inbox, just stay on Thunderbird welcome page,I work on Linux",True,1839578,missions2056,False,1839582,1839531;1839578;1839579;1839582;,app-crash,linux;thunderbird;app-crash;,missions2056,"<p>I can not access my e-mail. Can't go to inbox, just stay on Thunderbird welcome page,I work on Linux14 </p>",missions2056;Mapenzi;,False,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36;tb_version:140.1 esr 64 bit;os:Linux;sanitized_product_version:;solver_id:7859222",4,0,0,,,,Linux,140.1 esr 64 bit,
1598411,2026-08-15T11:10:40.743555Z,2026-08-15T22:43:55.164631Z,en-US,thunderbird,Cannot find my password to let me in the account,False,,,False,1839627,1839627;,reset-passwords,thunderbird;reset-passwords;,Ramjet1,<p>How can I find my password to let me back in my account? </p>,Ramjet1;rednoise;,False,False,False,";useragent:Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1;tb_version:Don’t know;sanitized_product_version:",1,0,0,,,,,Don’t know,
1598414,2026-08-15T11:47:23.408854Z,2026-08-15T11:48:32.217141Z,en-US,thunderbird,Thunderbird what happend to the arrow to open  grouped items,False,,,False,1839503,1839503;,customization,linux;thunderbird;customization;thunderbird-1530;thunderbird-15302;,theking2,<p>How do I open the grouped items? The arrow seems to be gone. </p><p>153.0.2 (64-bit) </p>,theking2;,False,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:153.0) Gecko/20100101 Firefox/153.0;tb_version:153.0.2 (64-bit);os:Linux;sanitized_product_version:153.0.2,1,0,0,,,,Linux,153.0.2 (64-bit),
1598419,2026-08-15T12:34:03.415799Z,2026-08-15T12:40:25.772019Z,en-US,thunderbird,done done cancel it,False,,,False,,,customization,thunderbird;customization;windows-11;,artur2,<p>done. </p>,artur2;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0;kb_visits_prior:[""/pl/kb/thunderbird-uzywanie-wielu-profili"", ""/pl/kb/synchronizacja-imap"", ""/pl/kb/zmiana-konta-pop-na-imap"", ""/pl/kb/panel-wyglad-uklad-lista-wiadomosci-widok-wizytowek-tabeli""];tb_version:Version 153.0.3;os:Windows 11;sanitized_product_version:",0,0,0,,,artur2,Windows 11,Version 153.0.3,
